StudID1,NL,Gen,Age,Major,Rater1,Rater2,E-Rater,StudID2,Rater1,Rater2,E-Rater
A0001,Vietnamese,M,32,AL/ESL,4,4,4.16606364,B0001,4,5,4.495370339
A0003,Chinese,M,34,AL/ESL,4,3,3.157233816,B0003,4,3,2.982561687
A0004,Jula,M,43,AL/ESL,3,3,3.381425091,B0004,3,3,2.983500844
A1002,Bengali,F,19,Undecided,3,3,2.453944766,B1002,4,5,3.705689011
A1003,Spanish,F,20,Biology,4,3,3.300754868,B1003,4,5,3.31117869
A1004,Chinese,M,25,Risk Management and Insurance,3,3,3.602967183,B1004,3,3,3.379180703
A1005,Chinese,M,19,Chemistry,3,3,3.326943153,B1005,3,2,3.326621907
A1006,Korean,F,24,English,2,2,2.063798744,B1006,2,1,2.409337195
A1007,Chinese,F,29,Accounting,4,3,2.797821543,B1007,3,3,3.061086163
A1008,Turkish,M,30,Economics,5,4,3.579870437,B1008,5,4,4.093099311
A1009,Chinese,F,22,Marketing,3,3,2.523724734,B1009,3,3,3.531557937
A1010,Chinese,F,25,Communication Studies,3,4,3.655516703,B1010,3,4,4.001875565
A1011,Kannada,M,24,Computer Science,4,3,3.157281457,B1011,4,4,2.935966097
A1012,Tamil,M,22,Computer Information Systems,5,4,3.610187519,B1012,5,5,4.225922337
A1013,German,M,20,Management,5,5,4.24333294,B1013,4,5,4.03981646
A1014,Chinese,F,26,Computer Science,4,4,4.13285364,B1014,5,4,4.549120579
A1015,Chinese,F,27,MBA,3,4,3.632408845,B1015,3,3,2.821209288
A1016,Chinese,F,26,Applied Linguistics,4,4,3.438618596,B1016,5,4,4.680999368
A1017,Spanish,F,20,Mathematics,5,4,3.84962357,B1017,4,4,3.234797367
A1018,Tamil,M,23,Biology,3,3,4.168728383,B1018,4,5,4.661199006
A1019,Kannada,M,23,Computer Science,3,3,3.402893655,B1019,2,3,2.225386547
A1020,Russian,F,28,Nursing,3,4,3.31232529,B1020,4,4,3.690392987
A1021,Chinese,F,25,Applied Linguistics,4,4,3.92095565,B1021,3,4,3.402425218
A1022,Korean,F,25,Applied Linguistics,3,3,3.616411649,B1022,4,4,3.965949053
A1023,Chinese,F,20,Respiratory Therapy,5,4,3.709087099,B1023,5,5,4.501151945
A1024,Bengali,M,38,Economics,5,5,4.167221028,B1024,4,4,3.772183443
A1025,Tamil,M,25,Computer Science,5,3,3.665103586,B1025,4,3,3.724306889
A1026,Amharic,M,21,Respiratory Therapy,3,3,2.500115444,B1026,3,3,2.890766493
A1027,French,F,27,English,5,5,4.965055891,B1027,5,5,4.69811849
A1028,French,F,24,English,4,5,5.044603037,B1028,5,5,4.199025983
A1029,Hungarian,M,24,MGS (managerial science),4,5,4.392607986,B1029,4,4,3.927108026
A1030,Vietnamese,M,19,Biological Science,3,4,3.409154865,B1030,3,4,3.39494667
A1031,Vietnamese,F,20,Chemistry,3,3,3.003205497,B1031,3,4,3.493015957
A1032,Bosnian,F,20,Business administration,4,4,3.546673972,B1032,4,5,3.276312978
A1033,Chinese,F,39,Accounting,3,3,2.223099884,B1033,3,3,1.425038351
A1034,Korean,F,20,Risk Management and Insurance,3,2,1.548584429,B1034,3,3,2.60617411
A1035,Japanese,M,27,Sociology,4,4,4.659855753,B1035,4,3,4.410349625
