latitude,longitude,date,event
17.22519,106.13442,11/10/1966 0:00:00,1000 LB SAP Bomb Road Cut Total Bombs = 777
17.41822,105.71281,1/29/1968 0:00:00,1000 LB SAP Bomb Motor Vehicle Unobserved Total Bombs = 385
17.49905,105.7092,12/22/1968 0:00:00,1000 LB SAP Bomb Segment/Trans Route ONTGT/NO BDA Total Bombs = 1771
17.56821,105.41284,10/8/1965 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 4
17.60154,105.72946,10/10/1965 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 567
17.5682,105.24619,10/10/1965 0:00:00,1000 LB General Purpose Bomb - High Drag FOSD Unobserved Total Bombs = 44
17.5682,105.22952,10/11/1965 0:00:00,1000 LB General Purpose Bomb - High Drag FOSD Unobserved Total Bombs = 61
17.60154,105.72946,10/13/1965 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Heavy/MOD Total Bombs = 485
17.60154,105.74613,10/14/1965 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 250
17.60153,105.29618,10/14/1965 0:00:00,1000 LB General Purpose Bomb - High Drag FOSD Unobserved Total Bombs = 4
17.61821,105.72946,11/1/1965 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 142
17.58487,105.72946,11/6/1965 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 350
17.61821,105.72946,11/20/1965 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cut Total Bombs = 179
17.50154,105.36285,11/24/1965 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Unobserved Total Bombs = 46
17.58487,105.57948,11/24/1965 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 53
17.48487,105.31285,1/6/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 48
17.55154,105.41284,1/6/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 52
17.63486,105.16287,1/16/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 25
17.70152,105.1462,1/19/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 137
17.58486,105.41284,1/23/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 8
17.51821,105.41284,1/23/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 59
17.48488,105.72946,1/25/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cut Total Bombs = 102
17.51822,105.84612,1/25/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 2
17.63487,105.74613,1/26/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 177
17.60154,105.72946,1/27/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 635
17.51822,105.72946,1/27/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Heavy/MOD Total Bombs = 6233
17.50154,105.41284,1/31/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 73
17.58487,105.74613,2/1/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 208
17.55154,105.4295,2/1/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 49
17.63487,105.7628,2/4/1966 0:00:00,1000 LB Delay GPB Road Cratered Total Bombs = 80
17.58487,105.7628,2/7/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 32
17.55154,105.66281,2/11/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Troops Unobserved Total Bombs = 22
17.80151,105.07954,2/18/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Cratered Total Bombs = 7
17.1349,105.62948,3/11/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Heavy/MOD Total Bombs = 76
17.33489,105.67947,3/11/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Destroyed Total Bombs = 113
17.30156,105.7628,3/12/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Destroyed Total Bombs = 177
17.58486,105.17953,3/12/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Cut Total Bombs = 35
17.53486,105.16287,3/13/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Cratered Total Bombs = 99
17.20157,105.61282,3/14/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 15
17.1349,105.62948,3/14/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Unobserved Total Bombs = 83
17.63486,105.31285,3/26/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Cratered Total Bombs = 10
17.33489,105.82945,3/29/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Unknown/Unidentified Unobserved Total Bombs = 2
17.35156,105.64615,3/31/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Motor Vehicle Destroyed Total Bombs = 9
17.40156,105.72946,5/1/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cratered Total Bombs = 579
17.41822,105.71281,5/1/1966 0:00:00,1000 LB GPB M-65 A-1 Bridge Cratered Total Bombs = 398
17.40156,105.92944,5/1/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cratered Total Bombs = 4
17.40156,105.72946,5/1/1966 0:00:00,1000 LB GPB M-65 A-1 Area/Depot Unobserved Total Bombs = 581
17.58487,105.49616,5/3/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cut Total Bombs = 182
17.15157,105.59616,5/3/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cut Total Bombs = 48
17.20158,106.14609,5/5/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Troops Cratered Total Bombs = 934
17.2849,105.8128,5/5/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Unobserved Total Bombs = 6
17.08492,105.96278,5/12/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Motor Vehicle Unobserved Total Bombs = 49
17.20158,106.14609,5/22/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cut Total Bombs = 961
17.23491,106.14609,5/22/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Unobserved Total Bombs = 364
17.06826,105.94611,5/23/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Troops Unobserved Total Bombs = 215
17.31823,105.72947,6/5/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Heavy/MOD Total Bombs = 108
17.53487,105.31285,6/10/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Heavy/MOD Total Bombs = 50
17.06826,105.96278,6/12/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Heavy/MOD Total Bombs = 233
17.50154,105.41284,6/15/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Troops Unobserved Total Bombs = 81
17.05159,105.96278,6/16/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Fox Holes Unobserved Total Bombs = 947
17.13491,106.0461,6/16/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Troops Unobserved Total Bombs = 269
17.23491,106.14609,6/18/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Motor Vehicle Unobserved Total Bombs = 357
17.20158,106.07943,6/19/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 4400
17.53487,105.74613,6/23/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 102
17.46822,105.69614,7/4/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cut Total Bombs = 110
17.21825,106.12942,7/7/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 81
17.21825,106.12942,7/10/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road No Damage Total Bombs = 113
17.21825,106.12942,7/11/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road No Damage Total Bombs = 114
17.21825,106.12942,7/11/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 115
17.21825,106.12942,7/11/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road No Damage Total Bombs = 83
17.23491,106.29607,7/11/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road No Damage Total Bombs = 2
17.31823,105.64615,7/12/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Troops Unobserved Total Bombs = 26
17.31823,105.64615,7/12/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Troops Unobserved Total Bombs = 28
17.21825,106.12942,7/13/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 116
17.21825,106.12942,7/13/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 117
17.0516,106.34607,7/14/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cut Total Bombs = 4
17.21825,106.12942,7/14/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 85
17.55154,105.7128,7/14/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot No Damage Total Bombs = 172
17.2349,105.96278,7/15/1966 0:00:00,1000 LB GPB M-65 A-1 FOSD Destroyed Total Bombs = 1
17.21825,106.12942,7/15/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Heavy/MOD Total Bombs = 87
17.50155,105.7128,7/15/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Troops Unobserved Total Bombs = 5817
