德约科维奇, Novak Djokovic
费德勒,Roger Federer
纳达尔,Rafael Nadal Parera
瓦林卡,Stan Wawrinka
锦织圭,Kei Nishikori
穆雷, Andy Murray
伯蒂奇,Tomáš Berdych
拉奥尼奇,Milos Raonic
西里奇,Marin Čilić
费雷尔,David Ferrer
迪米特洛夫,Grigor Dimitrov
特松加,Jo-Wilfried Tsonga
古尔比斯,Ernests Gulbis
菲-洛佩兹,Feliciano Lopez Diaz-Guerra 
阿古特,Roberto Bautista Agut
安德森,Kevin Anderson
德尔波特罗,Juan Martín del Potro
尤兹尼,Mikhail Youzhny 
特洛伊基,Viktor Troicki
科赫尔斯奇雷伯,Philipp Kohlschreiber 
小威廉姆斯,Serena Williams
莎拉波娃,Maria Sharapova
哈勒普,Simona Halep
科维托娃,Petra Kvitová
伊万诺维奇,Ana Ivanovic
A-拉德万斯卡,Agnieszka Radwańska
布沙尔,Eugenie Bouchard
沃兹尼亚奇,Caroline Wozniacki
科贝尔,Angelique Kerber
玛卡洛娃,Ekaterina Makarova
齐布尔科娃,Dominika Cibulková
佩内塔,Flavia Pennetta
佩特科维奇,Andrea Petković
埃拉尼,Sara Errani
扬科维奇,Jelena Janković
萨法洛娃,Lucie Šafářová
李娜,Li Na
巴辛斯基,Timea Bacsinszky
阿扎伦卡,Victoria Azarenka
汉图楚娃,Daniela Hantuchová
